hcpc_code_id,short_description,long_description
836,Anesth hernia repair preemie,"ANESTHESIA FOR HERNIA REPAIRS IN THE LOWER ABDOMEN NOT OTHERWISE SPECIFIED, INFANTS YOUNGER THAN 37 WEEKS GESTATIONAL AGE AT BIRTH AND YOUNGER THAN 50 WEEKS GESTATIONAL AGE AT TIME OF SURGERY"
840,Anesth surg lower abdomen,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; NOT OTHERWISE SPECIFIED
842,Anesth amniocentesis,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; AMNIOCENTESIS
844,Anesth pelvis surgery,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; ABDOMINOPERINEAL RESECTION
846,Anesth hysterectomy,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; RADICAL HYSTERECTOMY
848,Anesth pelvic organ surg,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; PELVIC EXENTERATION
851,Anesth tubal ligation,ANESTHESIA FOR INTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN INCLUDING LAPAROSCOPY; TUBAL LIGATION/TRANSECTION
0085T,Breath test heart reject,BREATH TEST FOR HEART TRANSPLANT REJECTION
860,Anesth surgery of abdomen,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; NOT OTHERWISE SPECIFIED"
862,Anesth kidney/ureter surg,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RENAL PROCEDURES, INCLUDING UPPER ONE-THIRD OF URETER, OR DONOR NEPHRECTOMY"
864,Anesth removal of bladder,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; TOTAL CYSTECTOMY"
865,Anesth removal of prostate,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RADICAL PROSTATECTOMY (SUPRAPUBIC, RETROPUBIC)"
866,Anesth removal of adrenal,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; ADRENALECTOMY"
868,Anesth kidney transplant,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; RENAL TRANSPLANT (RECIPIENT)"
870,Anesth bladder stone surg,"ANESTHESIA FOR EXTRAPERITONEAL PROCEDURES IN LOWER ABDOMEN, INCLUDING URINARY TRACT; CYSTOLITHOTOMY"
872,Anesth kidney stone destruct,"ANESTHESIA FOR LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE; WITH WATER BATH"
873,Anesth kidney stone destruct,"ANESTHESIA FOR LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE; WITHOUT WATER BATH"
880,Anesth abdomen vessel surg,ANESTHESIA FOR PROCEDURES ON MAJOR LOWER ABDOMINAL VESSELS; NOT OTHERWISE SPECIFIED
882,Anesth major vein ligation,ANESTHESIA FOR PROCEDURES ON MAJOR LOWER ABDOMINAL VESSELS; INFERIOR VENA CAVA LIGATION
902,Anesth anorectal surgery,ANESTHESIA FOR; ANORECTAL PROCEDURE
904,Anesth perineal surgery,ANESTHESIA FOR; RADICAL PERINEAL PROCEDURE
906,Anesth removal of vulva,ANESTHESIA FOR; VULVECTOMY
908,Anesth removal of prostate,ANESTHESIA FOR; PERINEAL PROSTATECTOMY
910,Anesth bladder surgery,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); NOT OTHERWISE SPECIFIED
912,Anesth bladder tumor surg,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF BLADDER TUMOR(S)
914,Anesth removal of prostate,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); TRANSURETHRAL RESECTION OF PROSTATE
916,Anesth bleeding control,ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); POST-TRANSURETHRAL RESECTION BLEEDING
918,Anesth stone removal,"ANESTHESIA FOR TRANSURETHRAL PROCEDURES (INCLUDING URETHROCYSTOSCOPY); WITH FRAGMENTATION, MANIPULATION AND/OR REMOVAL OF URETERAL CALCULUS"
920,Anesth genitalia surgery,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); NOT OTHERWISE SPECIFIED
921,Anesth vasectomy,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); VASECTOMY, UNILATERAL OR BILATERAL"
922,Anesth sperm duct surgery,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); SEMINAL VESICLES
924,Anesth testis exploration,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); UNDESCENDED TESTIS, UNILATERAL OR BILATERAL"
926,Anesth removal of testis,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL ORCHIECTOMY, INGUINAL"
928,Anesth removal of testis,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL ORCHIECTOMY, ABDOMINAL"
0092T,Artific disc addl cervical,"TOTAL DISC ARTHROPLASTY (ARTIFICIAL DISC), ANTERIOR APPROACH, INCLUDING DISCECTOMY WITH END PLATE PREPARATION (INCLUDES OSTEOPHYTECTOMY FOR NERVE ROOT OR SPINAL CORD DECOMPRESSION AND MICRODISSECTION), EACH ADDITIONAL INTERSPACE, CERVICAL (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
930,Anesth testis suspension,"ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); ORCHIOPEXY, UNILATERAL OR BILATERAL"
932,Anesth amputation of penis,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); COMPLETE AMPUTATION OF PENIS
934,Anesth penis nodes removal,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL AMPUTATION OF PENIS WITH BILATERAL INGUINAL LYMPHADENECTOMY
936,Anesth penis nodes removal,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); RADICAL AMPUTATION OF PENIS WITH BILATERAL INGUINAL AND ILIAC LYMPHADENECTOMY
938,Anesth insert penis device,ANESTHESIA FOR PROCEDURES ON MALE GENITALIA (INCLUDING OPEN URETHRAL PROCEDURES); INSERTION OF PENILE PROSTHESIS (PERINEAL APPROACH)
940,Anesth vaginal procedures,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); NOT OTHERWISE SPECIFIED"
942,Anesth surg on vag/urethral,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); COLPOTOMY, VAGINECTOMY, COLPORRHAPHY, AND OPEN URETHRAL PROCEDURES"
944,Anesth vaginal hysterectomy,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); VAGINAL HYSTERECTOMY"
948,Anesth repair of cervix,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); CERVICAL CERCLAGE"
950,Anesth vaginal endoscopy,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); CULDOSCOPY"
952,Anesth hysteroscope/graph,"ANESTHESIA FOR VAGINAL PROCEDURES (INCLUDING BIOPSY OF LABIA, VAGINA, CERVIX OR ENDOMETRIUM); HYSTEROSCOPY AND/OR HYSTEROSALPINGOGRAPHY"
0095T,Rmvl artific disc addl crvcl,"REMOVAL OF TOTAL DISC ARTHROPLASTY (ARTIFICIAL DISC), ANTERIOR APPROACH, EACH ADDITIONAL INTERSPACE, CERVICAL (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
0098T,Rev artific disc addl,"REVISION INCLUDING REPLACEMENT OF TOTAL DISC ARTHROPLASTY (ARTIFICIAL DISC), ANTERIOR APPROACH, EACH ADDITIONAL INTERSPACE, CERVICAL (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
0099T,Implant corneal ring,IMPLANTATION OF INTRASTROMAL CORNEAL RING SEGMENTS
0100T,Prosth retina receive&gen,"PLACEMENT OF A SUBCONJUNCTIVAL RETINAL PROSTHESIS RECEIVER AND PULSE GENERATOR, AND IMPLANTATION OF INTRA-OCULAR RETINAL ELECTRODE ARRAY, WITH VITRECTOMY"
0101T,Extracorp shockwv tx hi enrg,"EXTRACORPOREAL SHOCK WAVE INVOLVING MUSCULOSKELETAL SYSTEM, NOT OTHERWISE SPECIFIED, HIGH ENERGY"
0102T,Extracorp shockwv tx anesth,"EXTRACORPOREAL SHOCK WAVE, HIGH ENERGY, PERFORMED BY A PHYSICIAN, REQUIRING ANESTHESIA OTHER THAN LOCAL, INVOLVING LATERAL HUMERAL EPICONDYLE"
0103T,Holotranscobalamin,"HOLOTRANSCOBALAMIN, QUANTITATIVE"
0106T,Touch quant sensory test,"QUANTITATIVE SENSORY TESTING (QST), TESTING AND INTERPRETATION PER EXTREMITY; USING TOUCH PRESSURE STIMULI TO ASSESS LARGE DIAMETER SENSATION"
0107T,Vibrate quant sensory test,"QUANTITATIVE SENSORY TESTING (QST), TESTING AND INTERPRETATION PER EXTREMITY; USING VIBRATION STIMULI TO ASSESS LARGE DIAMETER FIBER SENSATION"
0108T,Cool quant sensory test,"QUANTITATIVE SENSORY TESTING (QST), TESTING AND INTERPRETATION PER EXTREMITY; USING COOLING STIMULI TO ASSESS SMALL NERVE FIBER SENSATION AND HYPERALGESIA"
0109T,Heat quant sensory test,"QUANTITATIVE SENSORY TESTING (QST), TESTING AND INTERPRETATION PER EXTREMITY; USING HEAT-PAIN STIMULI TO ASSESS SMALL NERVE FIBER SENSATION AND HYPERALGESIA"
0110T,Nos quant sensory test,"QUANTITATIVE SENSORY TESTING (QST), TESTING AND INTERPRETATION PER EXTREMITY; USING OTHER STIMULI TO ASSESS SENSATION"
1112,Anesth bone aspirate/bx,"ANESTHESIA FOR BONE MARROW ASPIRATION AND/OR BIOPSY, ANTERIOR OR POSTERIOR ILIAC CREST"
0111T,Rbc membranes fatty acids,LONG-CHAIN (C20-22) OMEGA-3 FATTY ACIDS IN RED BLOOD CELL (RBC) MEMBRANES
1120,Anesth pelvis surgery,ANESTHESIA FOR PROCEDURES ON BONY PELVIS
1130,Anesth body cast procedure,ANESTHESIA FOR BODY CAST APPLICATION OR REVISION
1140,Anesth amputation at pelvis,ANESTHESIA FOR INTERPELVIABDOMINAL (HINDQUARTER) AMPUTATION
1150,Anesth pelvic tumor surgery,"ANESTHESIA FOR RADICAL PROCEDURES FOR TUMOR OF PELVIS, EXCEPT HINDQUARTER AMPUTATION"
1160,Anesth pelvis procedure,ANESTHESIA FOR CLOSED PROCEDURES INVOLVING SYMPHYSIS PUBIS OR SACROILIAC JOINT
1170,Anesth pelvis surgery,ANESTHESIA FOR OPEN PROCEDURES INVOLVING SYMPHYSIS PUBIS OR SACROILIAC JOINT
1173,Anesth fx repair pelvis,ANESTHESIA FOR OPEN REPAIR OF FRACTURE DISRUPTION OF PELVIS OR COLUMN FRACTURE INVOLVING ACETABULUM
1180,Anesth pelvis nerve removal,ANESTHESIA FOR OBTURATOR NEURECTOMY; EXTRAPELVIC
1190,Anesth pelvis nerve removal,ANESTHESIA FOR OBTURATOR NEURECTOMY; INTRAPELVIC
1200,Anesth hip joint procedure,ANESTHESIA FOR ALL CLOSED PROCEDURES INVOLVING HIP JOINT
1202,Anesth arthroscopy of hip,ANESTHESIA FOR ARTHROSCOPIC PROCEDURES OF HIP JOINT
1210,Anesth hip joint surgery,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT; NOT OTHERWISE SPECIFIED
1212,Anesth hip disarticulation,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT; HIP DISARTICULATION
1214,Anesth hip arthroplasty,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT; TOTAL HIP ARTHROPLASTY
1215,Anesth revise hip repair,ANESTHESIA FOR OPEN PROCEDURES INVOLVING HIP JOINT; REVISION OF TOTAL HIP ARTHROPLASTY
1220,Anesth procedure on femur,ANESTHESIA FOR ALL CLOSED PROCEDURES INVOLVING UPPER TWO-THIRDS OF FEMUR
1230,Anesth surgery of femur,ANESTHESIA FOR OPEN PROCEDURES INVOLVING UPPER TWO-THIRDS OF FEMUR; NOT OTHERWISE SPECIFIED
1232,Anesth amputation of femur,ANESTHESIA FOR OPEN PROCEDURES INVOLVING UPPER TWO-THIRDS OF FEMUR; AMPUTATION
1234,Anesth radical femur surg,ANESTHESIA FOR OPEN PROCEDURES INVOLVING UPPER TWO-THIRDS OF FEMUR; RADICAL RESECTION
0123T,Scleral fistulization,"FISTULIZATION OF SCLERA FOR GLAUCOMA, THROUGH CILIARY BODY"
1250,Anesth upper leg surgery,"ANESTHESIA FOR ALL PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF UPPER LEG"
1260,Anesth upper leg veins surg,"ANESTHESIA FOR ALL PROCEDURES INVOLVING VEINS OF UPPER LEG, INCLUDING EXPLORATION"
0126T,Chd risk imt study,COMMON CAROTID INTIMA-MEDIA THICKNESS (IMT) STUDY FOR EVALUATION OF ATHEROSCLEROTIC BURDEN OR CORONARY HEART DISEASE RISK FACTOR ASSESSMENT
1270,Anesth thigh arteries surg,"ANESTHESIA FOR PROCEDURES INVOLVING ARTERIES OF UPPER LEG, INCLUDING BYPASS GRAFT; NOT OTHERWISE SPECIFIED"
1272,Anesth femoral artery surg,"ANESTHESIA FOR PROCEDURES INVOLVING ARTERIES OF UPPER LEG, INCLUDING BYPASS GRAFT; FEMORAL ARTERY LIGATION"
1274,Anesth femoral embolectomy,"ANESTHESIA FOR PROCEDURES INVOLVING ARTERIES OF UPPER LEG, INCLUDING BYPASS GRAFT; FEMORAL ARTERY EMBOLECTOMY"
1320,Anesth knee area surgery,"ANESTHESIA FOR ALL PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF KNEE AND/OR POPLITEAL AREA"
1340,Anesth knee area procedure,ANESTHESIA FOR ALL CLOSED PROCEDURES ON LOWER ONE-THIRD OF FEMUR
1360,Anesth knee area surgery,ANESTHESIA FOR ALL OPEN PROCEDURES ON LOWER ONE-THIRD OF FEMUR
1380,Anesth knee joint procedure,ANESTHESIA FOR ALL CLOSED PROCEDURES ON KNEE JOINT
1382,Anesth dx knee arthroscopy,ANESTHESIA FOR DIAGNOSTIC ARTHROSCOPIC PROCEDURES OF KNEE JOINT
1390,Anesth knee area procedure,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON UPPER ENDS OF TIBIA, FIBULA, AND/OR PATELLA"
1392,Anesth knee area surgery,"ANESTHESIA FOR ALL OPEN PROCEDURES ON UPPER ENDS OF TIBIA, FIBULA, AND/OR PATELLA"
1400,Anesth knee joint surgery,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON KNEE JOINT; NOT OTHERWISE SPECIFIED
1402,Anesth knee arthroplasty,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON KNEE JOINT; TOTAL KNEE ARTHROPLASTY
1404,Anesth amputation at knee,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON KNEE JOINT; DISARTICULATION AT KNEE
1420,Anesth knee joint casting,"ANESTHESIA FOR ALL CAST APPLICATIONS, REMOVAL, OR REPAIR INVOLVING KNEE JOINT"
1430,Anesth knee veins surgery,ANESTHESIA FOR PROCEDURES ON VEINS OF KNEE AND POPLITEAL AREA; NOT OTHERWISE SPECIFIED
1432,Anesth knee vessel surg,ANESTHESIA FOR PROCEDURES ON VEINS OF KNEE AND POPLITEAL AREA; ARTERIOVENOUS FISTULA
1440,Anesth knee arteries surg,ANESTHESIA FOR PROCEDURES ON ARTERIES OF KNEE AND POPLITEAL AREA; NOT OTHERWISE SPECIFIED
1442,Anesth knee artery surg,"ANESTHESIA FOR PROCEDURES ON ARTERIES OF KNEE AND POPLITEAL AREA; POPLITEAL THROMBOENDARTERECTOMY, WITH OR WITHOUT PATCH GRAFT"
1444,Anesth knee artery repair,ANESTHESIA FOR PROCEDURES ON ARTERIES OF KNEE AND POPLITEAL AREA; POPLITEAL EXCISION AND GRAFT OR REPAIR FOR OCCLUSION OR ANEURYSM
1462,Anesth lower leg procedure,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON LOWER LEG, ANKLE, AND FOOT"
1464,Anesth ankle/ft arthroscopy,ANESTHESIA FOR ARTHROSCOPIC PROCEDURES OF ANKLE AND/OR FOOT
1470,Anesth lower leg surgery,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, AND FASCIA OF LOWER LEG, ANKLE, AND FOOT; NOT OTHERWISE SPECIFIED"
1472,Anesth achilles tendon surg,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, AND FASCIA OF LOWER LEG, ANKLE, AND FOOT; REPAIR OF RUPTURED ACHILLES TENDON, WITH OR WITHOUT GRAFT"
1474,Anesth lower leg surgery,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, AND FASCIA OF LOWER LEG, ANKLE, AND FOOT; GASTROCNEMIUS RECESSION (EG, STRAYER PROCEDURE)"
1480,Anesth lower leg bone surg,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT; NOT OTHERWISE SPECIFIED"
1482,Anesth radical leg surgery,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT; RADICAL RESECTION (INCLUDING BELOW KNEE AMPUTATION)"
1484,Anesth lower leg revision,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT; OSTEOTOMY OR OSTEOPLASTY OF TIBIA AND/OR FIBULA"
1486,Anesth ankle replacement,"ANESTHESIA FOR OPEN PROCEDURES ON BONES OF LOWER LEG, ANKLE, AND FOOT; TOTAL ANKLE REPLACEMENT"
1490,Anesth lower leg casting,"ANESTHESIA FOR LOWER LEG CAST APPLICATION, REMOVAL, OR REPAIR"
1500,Anesth leg arteries surg,"ANESTHESIA FOR PROCEDURES ON ARTERIES OF LOWER LEG, INCLUDING BYPASS GRAFT; NOT OTHERWISE SPECIFIED"
1502,Anesth lwr leg embolectomy,"ANESTHESIA FOR PROCEDURES ON ARTERIES OF LOWER LEG, INCLUDING BYPASS GRAFT; EMBOLECTOMY, DIRECT OR WITH CATHETER"
1520,Anesth lower leg vein surg,ANESTHESIA FOR PROCEDURES ON VEINS OF LOWER LEG; NOT OTHERWISE SPECIFIED
1522,Anesth lower leg vein surg,"ANESTHESIA FOR PROCEDURES ON VEINS OF LOWER LEG; VENOUS THROMBECTOMY, DIRECT OR WITH CATHETER"
0159T,Cad breast mri,"COMPUTER-AIDED DETECTION, INCLUDING COMPUTER ALGORITHM ANALYSIS OF MRI IMAGE DATA FOR LESION DETECTION/CHARACTERIZATION, PHARMACOKINETIC ANALYSIS, WITH FURTHER PHYSICIAN REVIEW FOR INTERPRETATION, BREAST MRI (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
1610,Anesth surgery of shoulder,"ANESTHESIA FOR ALL PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF SHOULDER AND AXILLA"
1620,Anesth shoulder procedure,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER JOINT"
1622,Anes dx shoulder arthroscopy,ANESTHESIA FOR DIAGNOSTIC ARTHROSCOPIC PROCEDURES OF SHOULDER JOINT
1630,Anesth surgery of shoulder,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER JOINT; NOT OTHERWISE SPECIFIED"
1634,Anesth shoulder joint amput,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER JOINT; SHOULDER DISARTICULATION"
1636,Anesth forequarter amput,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER JOINT; INTERTHORACOSCAPULAR (FOREQUARTER) AMPUTATION"
1638,Anesth shoulder replacement,"ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES ON HUMERAL HEAD AND NECK, STERNOCLAVICULAR JOINT, ACROMIOCLAVICULAR JOINT, AND SHOULDER JOINT; TOTAL SHOULDER REPLACEMENT"
0163T,Lumb artif diskectomy addl,"TOTAL DISC ARTHROPLASTY (ARTIFICIAL DISC), ANTERIOR APPROACH, INCLUDING DISCECTOMY TO PREPARE INTERSPACE (OTHER THAN FOR DECOMPRESSION), EACH ADDITIONAL INTERSPACE, LUMBAR (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
0164T,Remove lumb artif disc addl,"REMOVAL OF TOTAL DISC ARTHROPLASTY, (ARTIFICIAL DISC), ANTERIOR APPROACH, EACH ADDITIONAL INTERSPACE, LUMBAR (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
1650,Anesth shoulder artery surg,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA; NOT OTHERWISE SPECIFIED
1652,Anesth shoulder vessel surg,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA; AXILLARY-BRACHIAL ANEURYSM
1654,Anesth shoulder vessel surg,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA; BYPASS GRAFT
1656,Anesth arm-leg vessel surg,ANESTHESIA FOR PROCEDURES ON ARTERIES OF SHOULDER AND AXILLA; AXILLARY-FEMORAL BYPASS GRAFT
0165T,Revise lumb artif disc addl,"REVISION INCLUDING REPLACEMENT OF TOTAL DISC ARTHROPLASTY (ARTIFICIAL DISC), ANTERIOR APPROACH, EACH ADDITIONAL INTERSPACE, LUMBAR (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
1670,Anesth shoulder vein surg,ANESTHESIA FOR ALL PROCEDURES ON VEINS OF SHOULDER AND AXILLA
1680,Anesth shoulder casting,"ANESTHESIA FOR SHOULDER CAST APPLICATION, REMOVAL OR REPAIR; NOT OTHERWISE SPECIFIED"
1682,Anesth airplane cast,"ANESTHESIA FOR SHOULDER CAST APPLICATION, REMOVAL OR REPAIR; SHOULDER SPICA"
0169T,Place stereo cath brain,"STEREOTACTIC PLACEMENT OF INFUSION CATHETER(S) IN THE BRAIN FOR DELIVERY OF THERAPEUTIC AGENT(S), INCLUDING COMPUTERIZED STEREOTACTIC PLANNING AND BURR HOLE(S)"
1710,Anesth elbow area surgery,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF UPPER ARM AND ELBOW; NOT OTHERWISE SPECIFIED"
1712,Anesth uppr arm tendon surg,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF UPPER ARM AND ELBOW; TENOTOMY, ELBOW TO SHOULDER, OPEN"
1714,Anesth uppr arm tendon surg,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF UPPER ARM AND ELBOW; TENOPLASTY, ELBOW TO SHOULDER"
1716,Anesth biceps tendon repair,"ANESTHESIA FOR PROCEDURES ON NERVES, MUSCLES, TENDONS, FASCIA, AND BURSAE OF UPPER ARM AND ELBOW; TENODESIS, RUPTURE OF LONG TENDON OF BICEPS"
0171T,Lumbar spine proces distract,"INSERTION OF POSTERIOR SPINOUS PROCESS DISTRACTION DEVICE (INCLUDING NECESSARY REMOVAL OF BONE OR LIGAMENT FOR INSERTION AND IMAGING GUIDANCE), LUMBAR; SINGLE LEVEL"
0172T,Lumbar spine process addl,"INSERTION OF POSTERIOR SPINOUS PROCESS DISTRACTION DEVICE (INCLUDING NECESSARY REMOVAL OF BONE OR LIGAMENT FOR INSERTION AND IMAGING GUIDANCE), LUMBAR; EACH ADDITIONAL LEVEL (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
1730,Anesth uppr arm procedure,ANESTHESIA FOR ALL CLOSED PROCEDURES ON HUMERUS AND ELBOW
1732,Anesth dx elbow arthroscopy,ANESTHESIA FOR DIAGNOSTIC ARTHROSCOPIC PROCEDURES OF ELBOW JOINT
1740,Anesth upper arm surgery,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; NOT OTHERWISE SPECIFIED
1742,Anesth humerus surgery,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; OSTEOTOMY OF HUMERUS
1744,Anesth humerus repair,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; REPAIR OF NONUNION OR MALUNION OF HUMERUS
0174T,Cad cxr with interp,"COMPUTER-AIDED DETECTION (CAD) (COMPUTER ALGORITHM ANALYSIS OF DIGITAL IMAGE DATA FOR LESION DETECTION) WITH FURTHER PHYSICIAN REVIEW FOR INTERPRETATION AND REPORT, WITH OR WITHOUT DIGITIZATION OF FILM RADIOGRAPHIC IMAGES, CHEST RADIOGRAPH(S), PERFORMED CONCURRENT WITH PRIMARY INTERPRETATION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
1756,Anesth radical humerus surg,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; RADICAL PROCEDURES
1758,Anesth humeral lesion surg,ANESTHESIA FOR OPEN OR SURGICAL ARTHROSCOPIC PROCEDURES OF THE ELBOW; EXCISION OF CYST OR TUMOR OF HUMERUS
0175T,Cad cxr remote,"COMPUTER-AIDED DETECTION (CAD) (COMPUTER ALGORITHM ANALYSIS OF DIGITAL IMAGE DATA FOR LESION DETECTION) WITH FURTHER PHYSICIAN REVIEW FOR INTERPRETATION AND REPORT, WITH OR WITHOUT DIGITIZATION OF FILM RADIOGRAPHIC IMAGES, CHEST RADIOGRAPH(S), PERFORMED REMOTE FROM PRIMARY INTERPRETATION"
